customer_id,age,gender,income_band,family_status,has_baby,pet_owner,region,loyalty_tier,cluster
1,40,F,mid,single,0,1,East,Bronze,4
2,44,F,mid,single,0,0,Central,Bronze,1
3,48,M,high,single,0,0,South,Gold,2
4,31,M,high,single,0,1,South,Gold,2
5,37,M,high,family,0,0,Central,Gold,2
6,23,M,mid,couple,0,1,East,Bronze,4
7,39,F,high,single,0,0,Central,Silver,2
8,28,M,mid,couple,0,0,Central,Bronze,1
9,51,M,high,single,0,0,North,Bronze,2
10,69,M,mid,family,0,1,South,Bronze,4
11,61,M,mid,family,0,1,South,Gold,4
12,54,F,mid,couple,0,0,Central,Silver,1
13,27,F,mid,single,0,0,North,Silver,1
14,26,F,mid,couple,0,0,North,Bronze,1
15,23,F,high,couple,0,1,Central,Gold,4
16,68,M,mid,couple,0,0,East,Silver,3
17,56,M,high,family,0,0,South,Silver,3
18,36,F,low,single,0,0,South,Gold,1
19,64,M,high,family,1,0,East,Silver,0
20,53,F,low,couple,0,1,North,Silver,4
21,33,F,low,single,0,0,East,Bronze,1
22,40,M,low,couple,0,1,North,Silver,4
23,59,F,mid,single,0,1,South,Bronze,4
24,35,F,mid,couple,0,1,South,Bronze,4
25,25,M,mid,couple,0,0,East,Bronze,1
26,24,F,low,couple,0,1,South,Gold,4
27,58,M,high,single,0,0,Central,Bronze,3
28,59,F,mid,family,0,0,Central,Silver,3
29,35,M,mid,family,0,0,South,Silver,1
30,59,F,low,single,0,0,West,Silver,1
31,61,M,low,family,0,1,East,Silver,4
32,37,F,mid,single,0,0,East,Silver,3
33,36,F,low,couple,0,0,West,Bronze,3
34,76,F,mid,couple,0,0,North,Silver,3
35,34,M,mid,family,0,0,West,Silver,1
36,56,M,low,single,0,1,Central,Bronze,4
37,39,M,high,family,1,1,North,Bronze,0
38,29,M,low,couple,0,1,North,Bronze,4
39,37,F,low,single,0,0,East,Bronze,1
40,30,F,high,single,0,1,East,Gold,2
41,31,M,low,couple,0,0,East,Silver,1
42,30,F,low,single,0,0,West,Gold,1
43,23,M,mid,family,0,1,West,Silver,4
44,55,M,high,couple,0,0,South,Bronze,2
45,25,M,mid,family,0,0,East,Bronze,1
46,48,F,mid,single,0,1,Central,Gold,4
47,56,M,mid,family,0,0,Central,Gold,3
48,61,M,low,single,0,0,East,Gold,3
49,59,F,mid,couple,0,0,East,Gold,3
50,30,M,low,family,0,0,Central,Silver,1
51,28,F,low,couple,0,1,South,Bronze,4
52,29,M,low,single,0,0,West,Bronze,1
53,20,F,mid,couple,0,1,West,Silver,4
54,33,M,high,family,0,1,Central,Bronze,2
55,59,M,low,couple,0,0,East,Bronze,1
56,39,M,low,family,0,0,South,Bronze,3
57,37,F,mid,single,0,0,Central,Bronze,3
58,48,M,low,single,0,0,South,Bronze,1
59,37,M,low,single,0,1,Central,Silver,4
60,48,M,low,family,0,0,East,Bronze,3
61,52,M,low,couple,0,0,West,Bronze,1
62,56,M,mid,couple,0,0,East,Bronze,1
63,60,F,low,single,0,1,North,Silver,4
64,40,F,mid,single,0,0,Central,Gold,3
65,38,F,low,single,0,0,East,Silver,3
66,26,M,mid,family,0,0,South,Silver,1
67,43,F,low,family,0,1,East,Bronze,4
68,37,M,high,single,0,0,South,Silver,2
69,29,F,high,couple,0,1,South,Bronze,2
70,67,M,mid,family,0,1,West,Bronze,4
71,53,M,mid,family,0,0,South,Bronze,3
72,65,M,high,couple,0,1,East,Silver,4
73,60,F,low,couple,0,0,Central,Gold,3
74,27,F,low,couple,0,1,East,Bronze,4
75,28,M,high,family,0,0,South,Bronze,2
76,50,M,mid,family,0,1,North,Gold,4
77,42,M,high,single,0,0,West,Silver,2
78,30,F,low,single,0,1,Central,Bronze,4
79,24,M,mid,couple,0,0,East,Bronze,1
80,46,F,low,single,0,1,East,Silver,4
81,33,M,mid,family,0,1,East,Gold,4
82,37,M,mid,couple,0,0,North,Bronze,3
83,68,F,low,couple,0,0,North,Silver,1
84,33,F,high,couple,0,1,Central,Gold,2
85,30,M,mid,couple,0,0,South,Silver,1
86,41,M,mid,single,0,1,Central,Bronze,4
87,18,M,low,couple,0,1,West,Bronze,4
88,57,M,low,couple,0,0,Central,Bronze,1
89,39,F,mid,single,0,0,North,Silver,1
90,25,M,mid,family,0,0,West,Bronze,1
91,41,F,low,family,0,0,North,Silver,1
92,56,M,high,couple,0,0,North,Gold,3
93,58,M,low,couple,0,1,West,Bronze,4
94,43,F,high,couple,0,0,East,Bronze,2
95,38,M,low,family,0,1,East,Bronze,4
96,51,F,low,family,0,0,South,Bronze,3
