basket_id,t,customer_id,cluster,last_cat,dayofweek,promo_any,action_rec,action_rec_prob,purchased_cat,clicked,reward
1,0,1,4,START,2,0,Beverages,0.0758,Pet,0,0.07
1,1,1,4,Pet,2,0,Baby,0.0522,Household,0,0.82
1,2,1,4,Household,2,0,Grocery,0.0752,Beauty,0,1.99
1,3,1,4,Beauty,2,0,Pet,0.1505,Grocery,0,0.14
2,0,1,4,START,1,0,Baby,0.053,Produce,0,0.08
2,1,1,4,Produce,1,0,Pet,0.1504,Produce,0,0.08
3,0,1,4,START,2,0,Beauty,0.0682,Baby,0,1.28
3,1,1,4,Baby,2,0,Dairy,0.0754,Produce,0,0.17
3,2,1,4,Produce,2,0,Grocery,0.0752,PersonalCare,0,0.92
4,0,1,4,START,5,0,Grocery,0.0758,Produce,0,0.16
4,1,1,4,Produce,5,0,Pet,0.1504,Snacks,0,0.06
5,0,1,4,START,5,0,Pet,0.1515,Pet,1,1.64
5,1,1,4,Pet,5,0,Beauty,0.0672,Pet,0,0.08
6,0,1,4,START,3,0,Household,0.0758,Pet,0,0.48
6,1,1,4,Pet,3,0,Baby,0.0522,Bakery,0,0.06
6,2,1,4,Bakery,3,0,Dairy,0.0752,Pet,0,0.14
7,0,1,4,START,3,0,Snacks,0.0758,Pet,0,0.07
7,1,1,4,Pet,3,0,PersonalCare,0.0746,Dairy,0,0.07
7,2,1,4,Dairy,3,0,Dairy,0.0827,Pet,0,0.27
8,0,1,4,START,3,1,Beverages,0.0758,Produce,0,0.06
8,1,1,4,Produce,3,1,Household,0.0752,PersonalCare,0,0.3
8,2,1,4,PersonalCare,3,1,Grocery,0.0752,Home,0,2.58
8,3,1,4,Home,3,1,Snacks,0.0752,Grocery,0,0.3
8,4,1,4,Grocery,3,1,Beverages,0.0752,Snacks,0,0.05
9,0,1,4,START,5,0,Home,0.0758,PersonalCare,0,0.62
9,1,1,4,PersonalCare,5,0,Snacks,0.0752,Home,0,7.33
9,2,1,4,Home,5,0,Beverages,0.0752,Home,0,2.32
9,3,1,4,Home,5,0,Pet,0.1504,Pet,1,1.83
9,4,1,4,Pet,5,0,Pet,0.1642,Dairy,0,0.11
9,5,1,4,Dairy,5,0,Household,0.0752,Grocery,0,0.27
9,6,1,4,Grocery,5,0,Bakery,0.0752,Pet,0,1.07
9,7,1,4,Pet,5,0,Pet,0.1642,Household,0,0.59
10,0,1,4,START,6,1,Pet,0.1515,Home,0,3.59
10,1,1,4,Home,6,1,Produce,0.0752,Pet,0,0.14
10,2,1,4,Pet,6,1,Home,0.0746,Grocery,0,0.17
10,3,1,4,Grocery,6,1,Produce,0.0752,Bakery,0,0.17
10,4,1,4,Bakery,6,1,Produce,0.0752,Beverages,0,0.09
11,0,1,4,START,2,0,Home,0.0758,Produce,0,0.04
11,1,1,4,Produce,2,0,Snacks,0.0752,Produce,0,0.08
12,0,2,1,START,4,0,Snacks,0.1172,Beauty,0,0.53
12,1,2,1,Beauty,4,0,Grocery,0.0698,Household,0,0.82
12,2,2,1,Household,4,0,Grocery,0.0698,Beverages,0,0.11
